% Boots dataset from Thomas Munz
@RELATION boots

@ATTRIBUTE Brand {"BRIGGS", "Bugatti", "LUMBERJACK", "M-Shoes", "Reebok", "Rieker", "SALAMANDER", "Thomas Munz", "Thomas Munz black", "U.S. POLO ASSN."}
@ATTRIBUTE Type {"Ботинки", "Ботинки work boots", "Треки"}
@ATTRIBUTE Color {"Бежевый", "Белый", "Желтый", "Зеленый", "Коричневый", "Мульти", "Песочный", "Рыжий", "Серый", "Синий", "Хаки", "Черный"}
@ATTRIBUTE Gender {"Муж."}
@ATTRIBUTE Season {"Весна-осень", "Зима"}
@ATTRIBUTE Price NUMERIC
@ATTRIBUTE Old price NUMERIC
@ATTRIBUTE Upper Material {"Велюр", "Замша", "Искусственная кожа", "КРС", "Кожа из спилка", "Натуральная кожа", "Нубук", "Спилок", "Текстиль", "Шевро"}
@ATTRIBUTE Lining Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Полушерсть", "Спилок", "Текстиль", "Шерсть"}
@ATTRIBUTE Insole Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "КРС", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Текстиль", "Шевро", "Шерсть"}
@ATTRIBUTE Sole Material {"Полиуретан", "Резина", "ТЭП", "ЭВА"}
@ATTRIBUTE Perforation {"Без перфорации", "Декоративная", "Нет"}
@ATTRIBUTE Closure Type {"Молния", "Молния/Пряжка", "Молния/Резинка", "Молния/Шнурки", "Резинка", "Шнурки"}
@ATTRIBUTE Heel Height (mm) NUMERIC
@ATTRIBUTE Upper Height (mm) NUMERIC
@ATTRIBUTE Width NUMERIC

@DATA
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",9029.0,12899.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,125,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6509.0,9299.0,"Кожа из спилка","Шерсть","Шерсть","ТЭП","Нет","Молния/Шнурки",40,135,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",7699.0,10999.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",35,120,7
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8959.0,12799.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния/Шнурки",35,135,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",8469.0,12099.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния/Шнурки",30,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9379.0,13399.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Декоративная","Молния/Шнурки",30,130,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8469.0,12099.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния/Шнурки",30,115,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",9379.0,13399.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Декоративная","Молния/Шнурки",30,130,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8469.0,12099.0,"Натуральная кожа","Натуральный мех","Натуральный мех","ТЭП","Нет","Молния",35,130,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8259.0,11799.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Декоративная","Молния/Шнурки",35,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8539.0,12199.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния",30,120,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7769.0,11099.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",50,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7279.0,10399.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",30,125,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",12319.0,17599.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния",30,110,6
"Thomas Munz","Ботинки","Рыжий","Муж.","Зима",8049.0,11499.0,"Спилок","Искусственный мех","Искусственный мех","ЭВА","Нет","Шнурки",24,95,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8049.0,11499.0,"Спилок","Искусственный мех","Искусственный мех","ЭВА","Нет","Шнурки",24,95,6
